Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
APOE	gene	APOE	Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lipoprotein glomerulopathy, MIM#611771			Abnormality of the kidney;HP:0000077	18077821;28966924;24348079		False	3	100;0;0	8.20	True		ENSG00000130203	ENSG00000130203	HGNC:613													
APRT	gene	APRT	Expert Review Green;Expert list;Expert Review Green;Expert Review Green;Expert list;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Adenine phosphoribosyltransferase deficiency, MIM#614723			Abnormality of the kidney;HP:0000077	1353080;2227934;3680503;7915931		False	3	100;0;0	8.20	False		ENSG00000198931	ENSG00000198931	HGNC:626													
AQP2	gene	AQP2	Expert Review Green;Expert list;Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Diabetes insipidus, nephrogenic MIM#125800			Abnormality of the kidney;HP:0000077	7537761;11536078;9649557;20301356;27156763;7524315		False	3	100;0;0	8.20	False		ENSG00000167580	ENSG00000167580	HGNC:634													
ARHGDIA	gene	ARHGDIA	Expert Review Green;Victorian Clinical Genetics Services;Expert Review Green	Kidneyome_SuperPanel		Renal and urinary tract disorders	Unknown				Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	False		ENSG00000141522	ENSG00000141522	HGNC:678													
ARL13B	gene	ARL13B	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 8, MIM# 612291			Abnormality of the kidney;HP:0000077	18674751;25138100;26092869;27894351;29255182;17488627		False	3	100;0;0	8.20	True		ENSG00000169379	ENSG00000169379	HGNC:25419													
ARL6	gene	ARL6	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 3, MIM# 600151			Abnormality of the kidney;HP:0000077	15258860;32361989;31888296;25402481		False	3	100;0;0	8.20	True		ENSG00000113966	ENSG00000113966	HGNC:13210													
ATP1A1	gene	ATP1A1	Expert Review Green;Literature;Literature;Expert Review Green;Literature	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Charcot-Marie-Tooth disease, axonal, type 2DD, OMIM #618036;Hypomagnesemia, seizures, and mental retardation 2, OMIM #618314			Abnormality of the kidney;HP:0000077	30388404		False	3	100;0;0	8.20	False		ENSG00000163399	ENSG00000163399	HGNC:799													
ATP6V0A4	gene	ATP6V0A4	Expert Review Green;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular acidosis, distal, autosomal recessive, MIM#602722			Abnormality of the kidney;HP:0000077	10973252;12414817		False	3	100;0;0	8.20	False		ENSG00000105929	ENSG00000105929	HGNC:866													
ATP6V1B1	gene	ATP6V1B1	Expert Review Green;KidGen_Tubulopathies v38.1.0;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Distal renal tubular acidosis 2 with progressive sensorineural hearing loss, MIM# 267300			Abnormality of the kidney;HP:0000077	12414817;9916796;18798332;16611712		False	3	100;0;0	8.20	False		ENSG00000116039	ENSG00000116039	HGNC:853													
AVP	gene	AVP	Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Diabetes insipidus, neurohypophyseal MIM#125700			Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	True		ENSG00000101200	ENSG00000101200	HGNC:894													
AVPR2	gene	AVPR2	Expert Review Green;KidGen_Tubulopathies v38.1.0;Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Nephrogenic syndrome of inappropriate antidiuresis 300539;Diabetes insipidus, nephrogenic 304800			Abnormality of the kidney;HP:0000077	9127330;1356229;20301356;27156763;15872203		False	3	100;0;0	8.20	False		ENSG00000126895	ENSG00000126895	HGNC:897													
BBS1	gene	BBS1	Expert Review Green;KidGen_CilioNephronop v38.1.0;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 1, MIM# 209900			Abnormality of the kidney;HP:0000077	20177705		False	3	100;0;0	8.20	True		ENSG00000174483	ENSG00000174483	HGNC:966													
BBS10	gene	BBS10	Expert Review Green;KidGen_CilioNephronop v38.1.0;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 10, MIM# 615987			Abnormality of the kidney;HP:0000077	16582908;19252258		False	3	100;0;0	8.20	True		ENSG00000179941	ENSG00000179941	HGNC:26291													
BBS12	gene	BBS12	Expert Review Green;KidGen_CilioNephronop v38.1.0;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 12, MIM# 615989			Abnormality of the kidney;HP:0000077	19797195;29633607;26082521		False	3	100;0;0	8.20	True		ENSG00000181004	ENSG00000181004	HGNC:26648													
BBS2	gene	BBS2	Expert Review Green;KidGen_CilioNephronop v38.1.0;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 2, MIM# 615981			Abnormality of the kidney;HP:0000077	11567139;16823392;28143435		False	3	100;0;0	8.20	True		ENSG00000125124	ENSG00000125124	HGNC:967													
BBS4	gene	BBS4	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 4, MIM#615982;MONDO:0014433			Abnormality of the kidney;HP:0000077	12016587;11381270		False	3	100;0;0	8.20	True		ENSG00000140463	ENSG00000140463	HGNC:969													
BBS5	gene	BBS5	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 5, MIM#615983;MONDO:0014434			Abnormality of the kidney;HP:0000077	19252258;15137946;10053027;15637713		False	3	100;0;0	8.20	True		ENSG00000163093	ENSG00000163093	HGNC:970													
BBS7	gene	BBS7	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 7, MIM# 615984;MONDO:0014435			Abnormality of the kidney;HP:0000077	12567324;21937992;19797195		False	3	100;0;0	8.20	True		ENSG00000138686	ENSG00000138686	HGNC:18758													
BBS9	gene	BBS9	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 9, MIM#615986;MONDO:0014437			Abnormality of the kidney;HP:0000077	16380913;22353939;32686083;32037757		False	3	100;0;0	8.20	True		ENSG00000122507	ENSG00000122507	HGNC:30000													
BCS1L	gene	BCS1L	Expert Review Green;KidGen_MetabolicRenal v38.1.0;Expert Review Green;Expert Review Green;Literature;Royal Melbourne Hospital;KidGen_MetabolicRenal v38.1.0;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex III deficiency, nuclear type MIM#112400;Bjornstad syndrome MIM#262000;GRACILE syndrome, MIM#603358			Abnormality of the kidney;HP:0000077	26563427;17314340;24172246		False	3	100;0;0	8.20	False		ENSG00000074582	ENSG00000074582	HGNC:1020													
BMP4	gene	BMP4	Expert Review Green;Expert Review Green;Victorian Clinical Genetics Services;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	CAKUT			Abnormality of the kidney;HP:0000077	30568244;24131739;23641053;19685083		False	3	100;0;0	8.20	True		ENSG00000125378	ENSG00000125378	HGNC:1071													
BNC2	gene	BNC2	Expert Review Green;Expert list;Expert Review Green;Literature	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lower urinary tract obstruction, congenital;OMIM #618612			Abnormality of the kidney;HP:0000077	PMID: 31656805, 31051115		False	3	100;0;0	8.20	True		ENSG00000173068	ENSG00000173068	HGNC:30988													
BSND	gene	BSND	Expert Review Green;Victorian Clinical Genetics Services;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bartter syndrome, type 4a, MIM# 602522			Abnormality of the kidney;HP:0000077	21269598;30174009;11687798;12574213;27234911		False	3	100;0;0	8.20	False		ENSG00000162399	ENSG00000162399	HGNC:16512													
C3	gene	C3	Expert Review Green;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	{Hemolytic uremic syndrome, atypical, susceptibility to, 5}, MIM# 612925			Abnormality of the kidney;HP:0000077	18796626;34248927;33691638		False	3	100;0;0	8.20	True		ENSG00000125730	ENSG00000125730	HGNC:1318													
CA2	gene	CA2	Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis, MIM#259730			Abnormality of the kidney;HP:0000077	34624559;12566520;33555497;7627193		False	3	100;0;0	8.20	False		ENSG00000104267	ENSG00000104267	HGNC:1373													
CACNA1D	gene	CACNA1D	Expert Review Green;KidGen_AldoHypertension v38.1.0;Expert Review Green;KidGen_AldoHypertension v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	MONDO:0014200;Primary aldosteronism, seizures, and neurologic abnormalities, MIM# 615474			Abnormality of the kidney;HP:0000077	23913001;32336187;30698561		False	3	100;0;0	8.20	False		ENSG00000157388	ENSG00000157388	HGNC:1391													
CACNA1H	gene	CACNA1H	Expert Review Green;KidGen_AldoHypertension v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	MONDO:0014875;Hyperaldosteronism, familial, type IV MIM#617027			Abnormality of the kidney;HP:0000077	25907736;31126930;27729216		False	3	100;0;0	8.20	False		ENSG00000196557	ENSG00000196557	HGNC:1395													
CACNA1S	gene	CACNA1S	Expert Review Green;KidGen_AldoHypertension v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypokalemic periodic paralysis, type 1, MIM# 170400			Abnormality of the kidney;HP:0000077	11591859;28012042		False	3	100;0;0	8.20	False		ENSG00000081248	ENSG00000081248	HGNC:1397													
CASR	gene	CASR	Expert Review Green;Victorian Clinical Genetics Services;Expert Review Green;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypocalcemia, autosomal dominant, with Bartter syndrome, MIM#601198;Hypocalciuric hypercalcemia, type I, MIM# 145980			Abnormality of the kidney;HP:0000077	30760291;8813042;27234911		False	3	100;0;0	8.20	False		ENSG00000036828	ENSG00000036828	HGNC:1514													
CC2D2A	gene	CC2D2A	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Meckel syndrome 6, MIM# 612284			Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	True		ENSG00000048342	ENSG00000048342	HGNC:29253													
CD151	gene	CD151	Expert Review Green;Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephropathy with pretibial epidermolysis bullosa and deafness, MIM#609057			Abnormality of the kidney;HP:0000077	15265795;29138120		False	3	100;0;0	8.20	True		ENSG00000177697	ENSG00000177697	HGNC:1630													
CD46	gene	CD46	Expert Review Green;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	{Susceptibility to atypical hemolytic uremic syndrome 2} (MIM#612922), AD, AR;Atypical hemolytic uremic syndrome 2			Abnormality of the kidney;HP:0000077	26054645;26826462		False	3	100;0;0	8.20	True		ENSG00000117335	ENSG00000117335	HGNC:6953													
CDC73	gene	CDC73	Expert Review Green;KidGen_CalcPhos v38.1.0;Expert Review Green;Expert Review Green;Expert Review Green;KidGen_CalcPhos v38.1.0;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hyperparathyroidism-jaw tumour syndrome, MIM# 145001;Hyperparathyroidism, familial primary, MIM# 145000			Abnormality of the kidney;HP:0000077	12434154		False	3	100;0;0	8.20	False		ENSG00000134371	ENSG00000134371	HGNC:16783													
CDKN1B	gene	CDKN1B	Expert Review Green;Expert list;Expert list;Expert Review Green;Literature	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Multiple endocrine neoplasia type 4, MEN4, OMIM #610755			Abnormality of the kidney;HP:0000077	24819502, 17030811, 23555276		False	3	100;0;0	8.20	False		ENSG00000111276	ENSG00000111276	HGNC:1785													
CDX2	gene	CDX2	Expert Review Green;Victorian Clinical Genetics Services;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Genetic multiple congenital anomalies/dysmorphic syndrome, MONDO:0043005;Congenital abnormalities of anus, renal and urogenital system, vertebrae and/or the limbs			Abnormality of the kidney;HP:0000077	29177441;34671974		False	3	50;50;0	8.20	True		ENSG00000165556	ENSG00000165556	HGNC:1806													
CENPF	gene	CENPF	Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Stromme syndrome, MIM#243605			Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	True		ENSG00000117724	ENSG00000117724	HGNC:1857													
CEP164	gene	CEP164	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome;Nephronophthisis 15, MIM# 614845;Oro-facio-digital syndrome			Abnormality of the kidney;HP:0000077	34132027;34013113;32055034;27708425;22863007		False	3	100;0;0	8.20	True		ENSG00000110274	ENSG00000110274	HGNC:29182													
CEP290	gene	CEP290	Expert Review Green;KidGen_CilioNephronop v38.1.0;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Senior-Loken syndrome 6, MIM# 610189			Abnormality of the kidney;HP:0000077	18327255;20690115;16682973;32208788		False	3	100;0;0	8.20	True		ENSG00000198707	ENSG00000198707	HGNC:29021													
CEP55	gene	CEP55	Expert Review Green;Expert Review	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly, MIM#236500			Abnormality of the kidney;HP:0000077	28295209;28264986;30622327		False	3	50;50;0	8.20	True		ENSG00000138180	ENSG00000138180	HGNC:1161													
CEP83	gene	CEP83	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 18, MIM# 615862;MONDO:0014374;Retinal dystrophy;ID			Abnormality of the kidney;HP:0000077	24882706;33938610		False	3	100;0;0	8.20	True		ENSG00000173588	ENSG00000173588	HGNC:17966													
CFB	gene	CFB	Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Haemolytic uremic syndrome, atypical, susceptibility to, 4, MIM# 612924			Abnormality of the kidney;HP:0000077	33725982;33273796;33126970;31242818		False	3	100;0;0	8.20	True		ENSG00000243649	ENSG00000243649	HGNC:1037													
CFH	gene	CFH	Expert Review Green;Victorian Clinical Genetics Services;Expert Review Green	Kidneyome_SuperPanel		Renal and urinary tract disorders	Unknown				Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	False		ENSG00000000971	ENSG00000000971	HGNC:4883													
CFHR1	gene	CFHR1	Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	{Hemolytic uremic syndrome, atypical, susceptibility to} MIM#235400			Abnormality of the kidney;HP:0000077	32424742		False	3	50;50;0	8.20	True		ENSG00000244414	ENSG00000244414	HGNC:4888													
CFHR2	gene	CFHR2	Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN			Abnormality of the kidney;HP:0000077	24334459;23728178;20800271		False	3	100;0;0	8.20	True		ENSG00000080910	ENSG00000080910	HGNC:4890													
CFHR3	gene	CFHR3	Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	{Hemolytic uremic syndrome, atypical, susceptibility to} MIM#235400			Abnormality of the kidney;HP:0000077	32424742		False	3	50;50;0	8.20	True		ENSG00000116785	ENSG00000116785	HGNC:16980													
CFHR5	gene	CFHR5	Expert Review Green;Victorian Clinical Genetics Services;Expert Review Green	Kidneyome_SuperPanel		Renal and urinary tract disorders	Unknown				Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	False		ENSG00000134389	ENSG00000134389	HGNC:24668													
