Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Approved Gene Symbol	Entrez Gene ID	Phenotypes
chr1	1242453	1247280	1p36.33	1p36.33	616593	"FAM132A, C1QDC2, C1QTNF12"	C1QTNF12	388581	
chr1	1253912	1273854	1p36.33	1p36.33	619756	"UBE2J2, NCUBE2, UBC6"	UBE2J2	118424	
chr1	1280436	1292025	1p36.3-p36.2	1p36.33	601328	SCNN1D	SCNN1D	6339	
chr1	1311600	1324660	1p36.33	1p36.33	611354	"CPSF3L, INTS11, RC68"	INTS11	54973	
chr1	1324802	1328896	1p36.33	1p36.33	615467	"GLTPD1, CPTP"	CPTP	80772	
chr1	1331280	1335314	1p36.33	1p36.33	605865	"TAS1R3, T1R3"	TAS1R3	83756	
chr1	1335278	1349418	1p36	1p36.33	601365	"DVL1, DRS2"	DVL1	1855	"Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant"
chr1	1352689	1363541	1p36.33	1p36.33	617293	"MXRA8, ASP3"	MXRA8	54587	
chr1	1373736	1375207	1p36.3	1p36.33	609183	"AURKAIP1, AKIP, AIP"	AURKAIP1	54998	
chr1	1385711	1399335	1p36.33	1p36.33	613482	CCNL2	CCNL2	81669	
chr1	1401909	1407293	1p36.3-p35.2	1p36.33	611833	MRPL20	MRPL20	55052	
chr1	1435690	1442882	1p36.3	1p36.33	611901	"VWA1, WARP, HMNMYO"	VWA1	64856	"Neuropathy, hereditary motor, with myopathic features, 619216 (3), Autosomal recessive"
chr1	1449689	1470163	1p36.33	1p36.33	617227	ATAD3C	ATAD3C	219293	
chr1	1471765	1509466	1p36.33	1p36.33	612317	"ATAD3B, TOB3, KIAA1273"	ATAD3B	83858	
chr1	1512162	1534685	1p36.33	1p36.33	612316	"ATAD3A, HAYOS, PHRINL"	ATAD3A	55210	"Harel-Yoon syndrome, 617183 (3), Autosomal dominant, Autosomal recessive; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive"
chr1	1534778	1540624	1p36.33	1p36.33	616101	"TMEM240, C1orf70, SCA21"	TMEM240	339453	"Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant"
chr1	1541673	1574863	1p36.33	1p36.33	617680	SSU72	SSU72	29101	
chr1	1613731	1630605	1p36.32	1p36.33	611141	MIB2	MIB2	142678	
chr1	1632173	1634654	1p36.3	1p36.33	603321	"MMP23B, MMP22"	MMP23B	8510	
chr1	1635225	1659004	1p36.3	1p36.33	176873	"CDK11B, CDC2L1, P58, CDK11"	CDK11B	984	
chr1	1661478	1692795	1p36.33	1p36.33	619315	"SLC35E2B, KIAA0447"	SLC35E2B	728661	
chr1	1699939	1701808	1p36.3	1p36.33	603320	"MMP23A, MMP21, MIFR"	MMP23A	8511	
chr1	1702379	1724357	1p36.3	1p36.33	116951	"CDK11A, CDC2L2"	CDK11A	728642	
chr1	1751232	1780514	1p36.33-p36.21	1p36.33	611616	NADK	NADK	65220	
chr1	1785286	1891087	1pter-p31.2	1p36.33	139380	"GNB1, MRD42, MDS"	GNB1	2782	"Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant"
chr1	1915260	1917296	1p36.33	1p36.33	610171	"CALML6, CAGLP"	CALML6	163688	
chr1	2019345	2030758	1p36.3	1p36.33	137163	"GABRD, GEFSP5, EIG10, EJM7"	GABRD	2563	"{Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant; {Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant"
chr1	2048504	2185395	1p36	1p36.33	176982	"PRKCZ, PKC2"	PRKCZ	5590	
chr1	2184477	2212720	1p36.33	1p36.33	615183	"C1orf86, FAAP20"	FAAP20	199990	
chr1	2228319	2310213	1p36.3	1p36.33-p36.32	164780	"SKI, SGS"	SKI	6497	"Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant"
chr1	2300001	20100000	1p36.32-p36.13		607671	DYT13		93983	"Dystonia 13, torsion, 607671 (2), Autosomal dominant"
chr1	2300001	29900000	1p36.32-p35.3		606242	KONDS		100653373	"Kondoh syndrome, 606242 (2), Autosomal recessive"
chr1	2403974	2413827	1p36.32	1p36.32	602859	"PEX10, NALD, PBD6A, PBD6B"	PEX10	5192	"Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive"
chr1	2415943	2505532	1p36.32	1p36.32	612836	"PLCH2, PLCL4"	PLCH2	9651	
chr1	2508537	2526596	1p36	1p36.32	606162	"PANK4, CTRCT49"	PANK4	55229	"?Cataract 49, 619593 (3), Autosomal dominant"
chr1	2528745	2530263	1p36.31	1p36.32	607348	HES5	HES5	388585	
chr1	2554234	2563829	1p36.3-p36.2	1p36.32	602746	"TNFRSF14, HVEM, TR2"	TNFRSF14	8764	
chr1	2590639	2633016	1p36.32	1p36.32	618104	"MMEL1, NEPII, NEP2, NL1, SEP"	MMEL1	79258	
chr1	3021467	3022903	1p36.32	1p36.32	608535	"ACTRT2, ARPT2, ARPM2"	ACTRT2	140625	
chr1	3069203	3438621	1p36.3	1p36.32	605557	"PRDM16, MEL1, LVNC8, CMD1LL"	PRDM16	63976	"Left ventricular noncompaction 8, 615373 (3), Autosomal dominant; Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant"
chr1	3454665	3481113	1p36.32	1p36.32	618871	ARHGEF16	ARHGEF16	27237	
chr1	3487951	3624786	1p36.3	1p36.32	604266	"MEGF6, EGFL3"	MEGF6	1953	
chr1	3560695	3560790	1p36.32	1p36.32	615148	MIR551A	MIR551A	693135	
chr1	3625015	3630127	1p36.32	1p36.32	611460	"TPRG1L, FAM79A"	TPRG1L	127262	
chr1	3630770	3650103	1p36.3	1p36.32	606040	WDR8	WRAP73	49856	
chr1	3652516	3736201	1p36	1p36.32	601990	"TP73, CILD47"	TP73	7161	"Ciliary dyskinesia, primary, 47, and lissencephaly, 619466 (3), Autosomal recessive"
chr1	3772749	3775956	1p36	1p36.32	615242	"SMIM1, VEL"	SMIM1	388588	"[Blood group, Vel system], 615264 (3), Autosomal recessive"
chr1	3778559	3796498	1p36.32	1p36.32	619154	"LRRC47, KIAA1185"	LRRC47	57470	
chr1	3812086	3857211	1p36.32	1p36.32	616690	"CEP104, GLYBP, KIAA0562, JBTS25, MRT77"	CEP104	9731	"Joubert syndrome 25, 616781 (3), Autosomal recessive; Intellectual developmental disorder, autosomal recessive 77, 619988 (3), Autosomal recessive"
chr1	3857476	3885429	1p36.3	1p36.32	601883	"DFFB, CAD, DFF2"	DFFB	1677	
chr1	4654609	4792534	1p36.32	1p36.32	610972	"AJAP1, SHREW1"	AJAP1	55966	
chr1	5300001	20100000	1p36.31-p36.13		614414	DFNB96		100861440	"Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive"
chr1	5862811	5992425	1p36	1p36.31	607215	"NPHP4, SLSN4"	NPHP4	261734	"Senior-Loken syndrome 4, 606996 (3), Autosomal recessive; Nephronophthisis 4, 606966 (3), Autosomal recessive"
chr1	5992676	6101180	1p36.3	1p36.31	601142	"KCNAB2, KCNA2B"	KCNAB2	8514	
chr1	6101787	6180321	1p36	1p36.31	610771	"CHD5, PMNDS"	CHD5	26038	"Parenti-Mignot neurodevelopmental syndrome, 619873 (3), Autosomal dominant"
chr1	6185020	6199595	1p36.31	1p36.31	180474	"RPL22, EAP"	RPL22	6146	
chr1	6206119	6221299	1p36.31	1p36.31	616923	"RNF207, C1orf188"	RNF207	388591	
chr1	6221193	6235964	1p36	1p36.31	605851	ICMT	ICMT	23463	
chr1	6244179	6245578	1p36.31	1p36.31	609971	HES3	HES3	390992	
chr1	6247353	6261098	1p36.31	1p36.31	614269	GPR153	GPR153	387509	
chr1	6264272	6393767	1p36	1p36.31	602587	"ACOT7, BACH, LACH"	ACOT7	11332	
chr1	6415232	6419919	1p36.31	1p36.31	609970	HES2	HES2	54626	
chr1	6424776	6461370	1p36.3-p36.1	1p36.31	606351	"ESPN, USH1M"	ESPN	83715	"Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive; Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; ?Usher syndrome, type 1M, 618632 (3), Autosomal recessive"
chr1	6460786	6466173	1p36.3	1p36.31	603366	"TNFRSF25, TNFRSF12, DR3, LARD"	TNFRSF25	8718	
chr1	6466092	6520092	1p36	1p36.31	611101	"PLEKHG5, KIAA0720, DSMA4, CMTRIC"	PLEKHG5	57449	"Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive; Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive"
chr1	6555307	6579755	1p36	1p36.31	606225	"TAS1R1, T1R1"	TAS1R1	80835	
chr1	6579994	6589280	1p36.3	1p36.31	165270	"ZBTB48, HKR3"	ZBTB48	3104	
chr1	6590724	6602869	1p36.31	1p36.31	616262	"KLHL21, KIAA0469"	KLHL21	9903	
chr1	6624868	6635595	1p36.31	1p36.31	612532	THAP3	THAP3	90326	
chr1	6634170	6701816	1p36.31-p36.23	1p36.31	614827	DNAJC11	DNAJC11	55735	
chr1	6785454	7769706	1p36	1p36.31-p36.23	611501	"CAMTA1, KIAA0833, CECBA"	CAMTA1	23261	"Cerebellar dysfunction with variable cognitive and behavioral abnormalities, 614756 (3), Autosomal dominant"
chr1	7100001	27600000	1p36.2-p36.1		600975	GLC3B		2728	"Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive"
chr1	7100001	15900000	1p36.2		608543	SCZD12		619488	"{Schizophrenia 12}, 181500 (2), Autosomal dominant"
chr1	7771296	7781432	1p36	1p36.23	603657	VAMP3	VAMP3	9341	
chr1	7784291	7845177	1p36.33-p36.21	1p36.23	603427	"PER3, FASPS3"	PER3	8863	"?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant"
chr1	7847612	7913249	1p36.23	1p36.23	604097	UTS2	UTS2	10911	
chr1	7915871	7940839	1p36	1p36.23	602250	"TNFRSF9, ILA, CD137"	TNFRSF9	3604	
chr1	7961711	7985505	1p36	1p36.23	602533	"DJ1, PARK7"	PARK7	11315	"Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive"
chr1	8011727	8026309	1p36	1p36.23	608069	"MIG6, RALT"	ERRFI1	54206	
chr1	8318114	8344165	1p36.2-p36.1	1p36.23	605763	"SLC45A1, DNB5, IDDNPF"	SLC45A1	50651	"Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive"
chr1	8352404	8817640	1p36.2-p36.1	1p36.23	605226	"RERE, NEDBEH"	RERE	473	"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant"
chr1	8861000	8878686	1pter-p36.13	1p36.23	172430	"ENO1, PPH, MPB1"	ENO1	2023	
chr1	8945868	8975092	1p36.33-p36.22	1p36.23	114780	CA6	CA6	765	
chr1	8992534	9026423	1p36.2	1p36.23	610371	"SLC2A7, GLUT7"	SLC2A7	155184	
chr1	9035106	9094195	1p36.2	1p36.23	138230	"SLC2A5, GLUT5"	SLC2A5	6518	
chr1	9151668	9151777	1p36	1p36.22	611172	"MIR34A, MIRN34A"	MIR34A	407040	
chr1	9234774	9271337	1p36	1p36.22	138090	"H6PD, GDH, G6PDH, CORTRD1"	H6PD	9563	"Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive"
chr1	9292894	9369532	1p36.22	1p36.22	611657	"SPSB, SSB1"	SPSB1	80176	
chr1	9539465	9585173	1p36.22	1p36.22	610816	SLC25A33	SLC25A33	84275	
chr1	9627258	9729114	1p36.2	1p36.22	602839	"PIK3CD, APDS, IMD14A, IMD14B, ROCHIS"	PIK3CD	5293	"Immunodeficiency 14A, autosomal dominant, 615513 (3), Autosomal dominant; Immunodeficiency 14B, autosomal recessive, 619281 (3), Autosomal recessive; ?Roifman-Chitayat syndrome, digenic, 613328 (3), Digenic recessive"
chr1	9728926	9824526	1p36	1p36.22	611321	"CLSTN1, KIAA0911"	CLSTN1	22883	
chr1	9848276	9910269	1p36.22	1p36.22	607758	"CTNNBIP1, ICAT"	CTNNBIP1	56998	
chr1	9922118	9943391	1p36.22	1p36.22	610458	LZIC	LZIC	84328	
chr1	9942923	9996892	1p36.22	1p36.22	608700	"NMNAT1, NMNAT, PNAT1, LCA9, SHILCA"	NMNAT1	64802	"Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis, 619260 (3), Autosomal recessive; Leber congenital amaurosis 9, 608553 (3), Autosomal recessive"
chr1	9997228	10016021	1p36.22	1p36.22	608604	"RBP7, CRBP4"	RBP7	116362	
chr1	10032958	10181239	1p36.3	1p36.22	613565	"UBE4B, UFD2A, KIAA0684"	UBE4B	10277	
chr1	10210570	10381603	1p36.2	1p36.22	605995	"KIF1B, CMT2A, CMT2A1, NBLST1"	KIF1B	23095	"Pheochromocytoma, 171300 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant"
chr1	10399064	10420511	1p36.2-p36.13	1p36.22	172200	PGD	PGD	5226	
chr1	10430433	10442808	1p36.22	1p36.22	609130	"CENPS, APITD1, MHF1"	CENPS	378708	
chr1	10450031	10451998	1p36	1p36.22	602784	CORT	CORT	1325	
chr1	10456522	10472529	1p36.3-p36.2	1p36.22	601882	"DFFA, DFF1"	DFFA	1676	
chr1	10474950	10630758	1p36.2	1p36.22	601791	"PEX14, PBD13A"	PEX14	5195	"Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive"
chr1	10636604	10796646	1p36.22	1p36.22	609895	"CASZ1, SRG"	CASZ1	54897	
chr1	10946475	10982076	1p36.22	1p36.22	619700	C1orf127	C1orf127	148345	
chr1	11012654	11030528	1p36.2	1p36.22	605078	"TARDBP, TDP43, ALS10"	TARDBP	23435	"Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant; Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant"
chr1	11026523	11047239	1p36.3-p36.2	1p36.22	605102	MASP2	MASP2	10747	"MASP2 deficiency, 613791 (3), Autosomal recessive"
chr1	11054589	11060018	1p36-p22	1p36.22	182891	"SRM, SPS1"	SRM	6723	
chr1	11066618	11099869	1p36.22	1p36.22	605960	"EXOSC10, PMSCL2"	EXOSC10	5394	
chr1	11106535	11262551	1p36.2	1p36.22	601231	"MTOR, FRAP1, SKS"	MTOR	2475	"Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant"
chr1	11189355	11195981	1p36.22	1p36.22	618517	"ANGPTL7, CDT6"	ANGPTL7	10218	
chr1	11273198	11299574	1p36.3	1p36.22	611632	"UBIAD1, TERE1, SCCD"	UBIAD1	29914	"Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant"
chr1	11479155	11537551	1p36.22	1p36.22	611251	"DISP3, PTCHD2, KIAA1337"	DISP3	57540	
chr1	11648387	11654429	1p36	1p36.22	607112	"FBXO2, FBX2, FBG1, NFB42"	FBXO2	26232	
chr1	11654407	11663327	1p36.21	1p36.22	609111	"FBXO44, FBX44, FBX6A, FBG3"	FBXO44	93611	
chr1	11664200	11674354	1p36.23	1p36.22	605647	"FBXO6, FBX6, FBG2"	FBXO6	26270	
chr1	11674480	11691830	1p36	1p36.22	604094	"MAD2L2, MAD2B, FANCV"	MAD2L2	10459	"?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive"
chr1	11686635	11725857	1p36.22	1p36.22	612682	"DRAXIN, C1orf187"	DRAXIN	374946	
chr1	11736136	11750769	1p36.22	1p36.22	608729	AGTRAP	AGTRAP	57085	
chr1	11785723	11805964	1p36.3	1p36.22	607093	MTHFR	MTHFR	4524	"{Vascular disease, susceptibility to} (3); Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive"
chr1	11806191	11843130	1p36	1p36.22	602726	"CLCN6, CONRIBA"	CLCN6	1185	"Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities, 619173 (3), Autosomal dominant"
chr1	11845709	11847783	1p36.2	1p36.22	108780	"NPPA, PND, ANP, ATFB6, ATRST2"	NPPA	4878	"Atrial standstill 2, 615745 (3), Autosomal recessive; Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant"
chr1	11857464	11858945	1p36.2	1p36.22	600295	"NPPB, BNP"	NPPB	4879	
chr1	11934717	11975537	1p36.3-p36.2	1p36.22	153454	"PLOD1, LH1, LLH, EDSKCL1"	PLOD1	5351	"Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive"
chr1	11980444	12013508	1p36.2	1p36.22	608507	"MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B"	MFN2	9927	"Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant"
chr1	12019498	12032045	1p36.22	1p36.22	608772	"MIIP, IIP45"	MIIP	60672	
chr1	12063303	12144207	1p36	1p36.22	153243	"TNFRSF8, CD30, D1S166E"	TNFRSF8	943	
chr1	12166991	12209220	1p36.3-p36.2	1p36.22	191191	"TNFRSF1B, TNFR2, TNFBR"	TNFRSF1B	7133	
chr1	12230030	12512047	1p36.22-p36.21	1p36.22-p36.21	608877	"VPS13D, SCAR4"	VPS13D	55187	"Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive"
chr1	12500001	15900000	1p36.21		609918	GBD2		100048905	"Gallbladder disease 2, 609918 (2)"
chr1	12567910	12618210	1p36.1	1p36.21	612830	"DHRS3, RETSDR1"	DHRS3	9249	
chr1	13474973	13514003	1p36.21	1p36.21	615212	LRRC38	LRRC38	126755	
chr1	13583757	13617957	1p36.21	1p36.21	608863	"PDPN, TI1A, T1A2, GP36, OTS8, AGGRUS"	PDPN	10630	
chr1	13700188	13825079	1p36	1p36.21	601196	"PRDM2, RIZ"	PRDM2	7799	
chr1	13892824	15118043	1p36.21	1p36.21	618301	KAZN	KAZN	23254	
chr1	15409888	15430339	1p36.21	1p36.21	616450	"EFHD2, SWS1"	EFHD2	79180	
chr1	15438443	15449242	1p36.21	1p36.21	601405	"CTRC, CLCR"	CTRC	11330	"{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant"
chr1	15456732	15472091	1p36.2	1p36.21	609443	"CELA2A, ELA2A, AOMS4"	CELA2A	63036	"Abdominal obesity-metabolic syndrome 4, 618620 (3), Autosomal dominant"
chr1	15476104	15491395	1p36.2	1p36.21	609444	"CELA2B, ELA2B"	CELA2B	51032	
chr1	15491401	15524912	1p36.3-p36.1	1p36.21	602234	"CASP9, APAF3"	CASP9	842	
chr1	15526848	15571733	1p36.21	1p36.21	619973	"DNAJC16, ERDJ8, KIAA0962"	DNAJC16	23341	
chr1	15571699	15585051	1p36.21	1p36.21	617887	"AGMAT, AUH"	AGMAT	79814	
chr1	15659713	15662033	1p36.1	1p36.21	601966	"RSC1A1, RS1"	RSC1A1	6248	
chr1	15681506	15734769	1p36.21	1p36.21	609613	"PLEKHM2, SKIP, KIAA0842"	PLEKHM2	23207	
chr1	15736258	15741392	1p36.21	1p36.21	610817	SLC25A34	SLC25A34	284723	
chr1	15756638	15786589	1p36.13	1p36.21	607747	"FBLIM1, FBLP1, MIGFILIN"	FBLIM1	54751	
chr1	15847707	15940456	1p36.13	1p36.21-p36.13	613484	"SPEN, MINT, SHARP, HIAA0929, RATARS"	SPEN	23013	"Radio-Tartaglia syndrome, 619312 (3), Autosomal dominant"
chr1	15900001	39600000	1p36.13-p34.3		609122	ANIB3		497657	"Aneurysm, intracranial berry, 3, 609122 (2), Autosomal dominant"
chr1	15900001	39600000	1p36.13-p34.3		616055	EA8		104326187	"Episodic ataxia, type 8, 616055 (2), Autosomal dominant"
chr1	15900001	34300000	1p36.1-p35		601201	MEMO1		7795	
chr1	15941869	15976101	1p36.2-p36.1	1p36.13	604084	"ZBTB17, ZNF151, MIZ1"	ZBTB17	7709	
chr1	16004236	16008807	1p36.13	1p36.13	619448	"SRARP, ERRF, C1orf64"	SRARP	149563	
chr1	16014029	16019594	1p36.23-p34.3	1p36.13	610692	"HSPB7, CVHSP"	HSPB7	27129	
chr1	16022036	16034050	1p36	1p36.13	602024	CLCNKA	CLCNKA	1187	"Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive"
chr1	16043782	16057326	1p36	1p36.13	602023	CLCNKB	CLCNKB	1188	"Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive"
chr1	16124337	16156069	1p36.1	1p36.13	176946	"EPHA2, ECK, CTPP1, CTPA, ARCC2, CTRCT6"	EPHA2	1969	"Cataract 6, multiple types, 116600 (3), Autosomal dominant"
chr1	16197854	16212652	1p36.13	1p36.13	612496	"ARHGEF19, WGEF"	ARHGEF19	128272	
chr1	16246840	16352480	1p36.23-p36.11	1p36.13	609109	"FBXO42, FBX42, KIAA1332"	FBXO42	54455	
chr1	16440724	16460078	1p36.13	1p36.13	611624	NECAP2	NECAP2	55707	
chr1	16545939	16546009	1p36.13	1p36.13	189911	"TRG-CCC1-1, TRNAG1, TRG1"	TRG-CCC1-1	7195	
chr1	16562323	16613564	1p36.2	1p36.13	610501	"NBPF1, KIAA1693"	NBPF1	55672	
chr1	16740516	16740679	1p36.3	1p36.13	180680	"RNU1A, RNU1"	RNU1-4	6060	
chr1	16872583	16872654	1p36	1p36.13	180640	"TRE-TTC3-1, TRNAE1, TRNE, TRE"	TRE-TTC3-1	7193	
chr1	16914085	16972964	1p36.11	1p36.13	615776	"CROCC, ROOTLETIN, KIAA0445"	CROCC	9696	
chr1	16974502	16981583	1p36.1-p35	1p36.13	156790	"MFAP2, MAGP, MAGP1"	MFAP2	4237	
chr1	16985958	17011928	1p36	1p36.13	610513	"ATP13A2, PARK9, KRPPD, SPG78"	ATP13A2	23400	"Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive; Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive"
chr1	17018722	17054032	1p36.1-p35	1p36.13	185470	"SDHB, SDH2, SDHIP, PGL4, MC2DN4"	SDHB	6390	"Paragangliomas 4, 115310 (3), Autosomal dominant; Mitochondrial complex II deficiency, nuclear type 4, 619224 (3), Autosomal recessive; Gastrointestinal stromal tumor, 606764 (3), Isolated cases, Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant; Paraganglioma and gastric stromal sarcoma, 606864 (3)"
chr1	17066761	17119451	1p36.13	1p36.13	607935	PADI2	PADI2	11240	
chr1	17205128	17246007	1p36.13	1p36.13	607934	PADI1	PADI1	29943	
chr1	17249098	17284233	1p36.13	1p36.13	606755	"PADI3, UHS1"	PADI3	51702	"Uncombable hair syndrome, 191480 (3), Autosomal recessive"
